类型,课,序号,日语,英语,中文,现有尼语,问题说明,建议修正
ERROR,10,78,舞台,"(theater) stage, setting, scene",舞台,"चरण, अवस्ा","「舞台」误译为""阶段/状态""(चरण)",मञ्च/स्टेज
ERROR,10,128,グレー,grey,灰色,खैैरोो,"「グレー(grey)」误译为""棕色""(खैरो)",फुस्रो/खरानी
DUP,11,28,～件（3905件）,counter for cases (3905 cases of ~),～件（3905件）,～वटा (एउटा घर),"「～件(3905件)」尼语复制自""１軒""(一间房)",~वटा (३९०५ वटा)
DUP,11,90,ため,"benefit, consequence,",为了；由于,"गरेर हेर््ननु, परिक्ा लिनु","「ため(为了)」尼语复制自""試す""(尝试)",~को लागि/कारण
DUP,11,118,たとえ,even if,即使，无论,उददाहरणकोो लागि,"「たとえ(即使)」尼语复制自""例えば""(例如)",भए पनि/जतिसुकै
ERROR,13,7,食堂,cafeteria,食堂,भान्सा कोोठा,"「食堂」误译为""厨房房间""(भान्सा कोठा)",भोजनालय/क्याफेटेरिया
ERROR,13,12,当たる（１食分に当たる）,(here: equal to 1,碰上，命中,हड्ताल गर््ननु (१ गाँसका लागि हड्ताल गर््ननु),"「当たる(相当于)」误译为""罢工""(हड्ताल)",बराबर हुनु
ERROR,13,16,空間,space,空间,वातावरण,"「空間」误译为""环境""(वातावरण)",ठाउँ/खाली स्थान
ERROR,13,58,実現-する,"implement, to realize",实现,महसुस गर््ननु,"「実現する」误译为""感觉""(महसुस)",साकार पार्नु/पूरा गर्नु
ERROR,14,57,見聞き-する,"experience, see and hear (firsthand)",见闻,हेर््ननुहोोस् र सुन्नुहोोस्,"「見聞きする」误用敬体命令""请看请听""",देख्नु र सुन्नु
DUP,14,87,～期（ハネムーン期）,period (honeymoon period),期间(蜜月期),ध्यान पुग्ु,"「～期(ハネムーン期)」尼语复制自""気が利く""",~काल/~अवधि
ERROR,15,24,～余り（20人余り）,~ more than (more than 20 people),各、每个,～बाँकीी (२० जना बाँकीी),"「20人余り(20多人)」误译为""剩20人""",भन्दा बढी
ERROR,16,17,せいぜい,at most,尽量,जति सकिन्छ अहिले नैै,"「せいぜい(至多)」误译为""尽量""",बढीमा/अधिकमा
ERROR,16,98,志願-する,"to apply (for job, school, etc.), to aspire",志愿，报考,स्वयंसेवा गर््ननु,"「志願する(报考)」误译为""志愿服务""(स्वयंसेवा)",आवेदन दिनु/इच्छा गर्नु
DUP,17,23,押し付ける,to force (responsibility) onto someone,强加，推给,शान्त हुनुi,"「押し付ける」尼语复制自""落ち着く""(冷静)",थोपर्नु/जबरजस्ती गर्नु
ERROR,17,34,取る（コミュニケーション）,to take [here: to,进行（进行交流）,उडाउनु,"「コミュニケーションを取る」误用""उडाउनु""(飞)",कुराकानी गर्नु
ERROR,17,57,そのうち（に）,"before long, one of",其中，不久,त्यस मध्ये मा,"「そのうち(不久)」误译为""其中""",केही समयमा/छिट्टै
DUP,17,71,何がなんでも,whatever happens,不管怎么说,अरू सबैभन्दान्दा,"「何がなんでも」尼语复制自""何より""",जस्तोसुकै भए पनि
ERROR,18,57,学名,scientific name,学名,एकडेमिक नाम,"「学名」误译为""学术名""(एकडेमिक)",वैज्ञानिक नाम
ERROR,18,62,どんな（どんな生物でも）,(whatever kind of,什么样的,जीवजन्ु/जिवीत प्ाणी,"「どんな」把括号里""生物""当成了翻译",जस्तोसुकै
DUP,18,120,～羽（５羽）,counter for birds (5 birds),～只（5只，鸟类）,～मा बाँड्ने (ग्रुपमा बाँड्ने),"「～羽(５羽)」尼语复制自""グループ分け""(分组)",~वटा चरा (५ वटा)
ERROR,19,14,手をかける,"to place a hand on, to care for",花心思，精心照料,"सुरु गर््ननु, काममा हात लगाउनु","「手をかける(悉心照料)」误译为""开始""(सुरु गर्नु)",हेरचाह गर्नु/मिहेनत गर्नु
ERROR,19,19,先端,"tip, forefront",尖端，前沿,"सुझाव, ददेखाउनुपर्ने बिन्दुन्दु","「先端(前沿)」误译为""建议""(सुझाव)",अग्रणी/टुप्पो
ERROR,19,114,品種,"type, breed, variety",品种,विविध,"「品種(品种)」误译为""多样的""(विविध)",जात/प्रजाति
DUP,19,177,細胞,(biological) cell,细胞,iPS कोषिका,"「細胞」尼语复制自""iPS細胞""",कोषिका/सेल
ERROR,20,84,権利,"rights, privileges",权利,"विशेषाधिकार, सही","「権利(权利)」误译为""特权/正确""",अधिकार
ERROR,20,87,境界線,"boundary, bounds, borderline",分界线,किनारा,"「境界線(分界线)」误译为""岸边""(किनारा)",सीमारेखा
MINOR,1,8,お供,companion,陪同的人，随员,साथ दिनु,お供=साथ दिनु(动词) 宜用名词,
MINOR,1,29,日時,date and time,日期与时刻,मिति,"日時=मिति 只译""日""缺""時""",
MINOR,1,58,実際,"actually, really, in fact",实际上,वास्तविक,実際=वास्तविक 宜用 वास्तवमा,
MINOR,1,79,困難（な）,adversity,有难度的,आपदद बिपदद,困難=आपद विपद(灾难) 宜用 कठिनाइ,
MINOR,1,112,前日,the day before,前几天,अगिल्लोो केहीदिन अगाडि,"前日=""前几天"" 宜为""前一天""",
MINOR,2,36,出入り口,"door, entrance/exit",出入口,मूल ढोोका,出入り口=मूल ढोका(主门),
MINOR,2,65,参考,reference,参考,रिफर गर््ननु,参考=रिफर गर्नु(词性),
MINOR,3,56,ただ,however,仅仅，只,यद्यपी/नि:शुल्क,ただ=यद्यपि/नि:शुल्क(just义缺失),
MINOR,3,73,せっかく,since (I) made such an,特意，煞费苦心,आखिर/मौकामा,せっかく=आखिर/मौकामा 偏离,
MINOR,4,22,管理人,"concierge, (building) manager",管理员,निरिक्षक,管理人=निरिक्षक(检查员),
MINOR,4,28,伺う,to ask,请教，拜访,भेट्न आउनु,"伺う=भेट्न आउनु(仅""拜访""义)",
MINOR,7,28,育成-する,to train,训练,तालिम दिई हुर्कााउनु,何で…,
MINOR,9,1,なんか,something,什么,केही/किनकिन,なんか=केही/किनकिन 后者多余,
MINOR,11,66,しょうがない,there’s no other way,没办法,बेकारकोो,しょうがない=बेकारको(没用) 宜用 के गर्नु,
MINOR,13,47,ファンファーレ,fanfare,吹奏乐,फ्ानफेअर संगीत,～%…,
MINOR,13,119,試み,attempt,尝试,परीक्षण,試み=परीक्षण(试验) 宜用 प्रयास,
MINOR,14,47,案,proposal,计划，注意,जुक्ति,案=जुक्ति(窍门) 宜用 प्रस्ताव,
MINOR,18,36,投げかける,to raise,投过去,तेर्स्यााउनु,投げかける=तेर्स्याउनु(侧转),
MINOR,18,61,さんざん,all sorts,厉害，严重,अनेक गरेर,さんざん=अनेक गरेर(做了很多) 偏离,
MINOR,18,111,暴力,violence,暴力,कुटपिट,暴力=कुटपिट(殴打) 宜用 हिंसा,
MINOR,20,76,果たして,really,"果然,果真",ल त के हुने होो,"果たして=""那会发生什么"" 偏离",
MINOR,20,120,ひどい,terrible,过分,घटिया,ひどい=घटिया(劣质) 宜用 भयानक,
MISS,1,25,交流-する,"to interact, to exchange",交流,,尼语空缺 (src=zhocr),（公式リストになし）
MISS,1,97,気分,mood,心情,,尼语空缺 (src=official),（公式リストになし）
MISS,2,23,お買い上げ,purchase,收购,,尼语空缺 (src=official),（公式リストになし）
MISS,3,77,グラス,glass,玻璃,,尼语空缺 (src=official),（公式リストになし）
MISS,4,24,音声,audio,声音,,尼语空缺 (src=official),（公式リストになし）
MISS,4,75,展示-する,to exhibit,展览,,尼语空缺 (src=zhocr),（公式リストになし）
MISS,5,56,決して,never,绝不,,尼语空缺 (src=official),（公式リストになし）
MISS,6,28,面する,"to face, to look out on to, to border",面向，面对,,尼语空缺 (src=added),（公式リストになし）
MISS,6,64,天下の台所（大阪の別名）,The Nation’s Kitchen (a ） nickname for Osaka),天下厨房（大阪的别名）,,尼语空缺 (src=added),（公式リストになし）
MISS,6,107,都市,city,城市,,尼语空缺 (src=official),（公式リストになし）
MISS,7,23,ハイタッチ-する,high five,击掌,,尼语空缺 (src=official),（公式リストになし）
MISS,8,24,本題,main theme,整体，中心课题,,尼语空缺 (src=official),（公式リストになし）
MISS,9,23,個性,individuality,个性,,尼语空缺 (src=official),（公式リストになし）
MISS,9,75,顔が広い,to know a lot of people,交际广,,尼语空缺 (src=zhocr),（公式リストになし）
MISS,10,21,歩行-する,to walk,步行,,尼语空缺 (src=official),（公式リストになし）
MISS,10,106,迫力満点,full impact,令人印象深刻,,尼语空缺 (src=official),（公式リストになし）
MISS,11,27,件数,"number of cases (incidents, items, etc.)",件数,,尼语空缺 (src=added),（公式リストになし）
MISS,11,61,残業-する,to do overtime,加班,,尼语空缺 (src=official),（公式リストになし）
MISS,11,109,実施-する,to carry out,实施,,尼语空缺 (src=official),（公式リストになし）
MISS,12,25,報告-する,to report,报告,,尼语空缺 (src=official),（公式リストになし）
MISS,12,77,というのは,this means,因为,,尼语空缺 (src=official),（公式リストになし）
MISS,13,22,主人公,main character,主人公,,尼语空缺 (src=official),（公式リストになし）
MISS,13,57,信用-する,to believe,相信,,尼语空缺 (src=official),（公式リストになし）
MISS,13,102,呼ぶ（話題を呼ぶ）,to attract (to attract attention),引起（引起话题）,,尼语空缺 (src=zhocr),（公式リストになし）
MISS,14,30,ブラウス,blouse,女性衬衣,,尼语空缺 (src=official),（公式リストになし）
MISS,14,88,間近（な）,close at hand,临近,,尼语空缺 (src=official),（公式リストになし）
MISS,15,62,サイバー攻撃,cyber attack,网络攻击,,尼语空缺 (src=official),（公式リストになし）
MISS,15,101,予想外,unexpected,"意外,未预料的事",,尼语空缺 (src=official),（公式リストになし）
MISS,16,24,サボる,"to skip, to bunk off",翘课，偷懒,,尼语空缺 (src=zhocr),（公式リストになし）
MISS,16,60,年末年始,the New Year’s holiday,年末年初,,尼语空缺 (src=zhocr),（公式リストになし）
MISS,16,101,少子化,declining birth rate,少子高龄化,,尼语空缺 (src=official),（公式リストになし）
MISS,16,139,アルバム,album,"相册,专辑",,尼语空缺 (src=official),（公式リストになし）
MISS,18,30,理念,philosophy (of a,理念,,尼语空缺 (src=added),（公式リストになし）
MISS,19,25,分離-する,to separate,分离,,尼语空缺 (src=official),（公式リストになし）
MISS,19,104,建築-する,"to construct, to build",建筑,,尼语空缺 (src=added),（公式リストになし）
MISS,19,139,装置,device,装置,,尼语空缺 (src=official),（公式リストになし）
MISS,20,59,勤める,to work,工作，操作,,尼语空缺 (src=official),（公式リストになし）
MISS,20,106,ウェルビーイング（Well-）,well-being,福祉（幸福感）,,尼语空缺 (src=added),（公式リストになし）
