L1#  1 | それでは | त्यसोभए
L2# 43 | もう～（例：もう一杯） | पहिल्यै ～ (जस्तै: पहिल्यै पुगिसकेको)
L2# 44 | 親子丼 | ओयाकोदोन (अण्डा र कुखुराको मासुको परिकार)
L2# 45 | 牛丼 | ग्युदोन (गाईको मासुको परिकार)
L2# 46 | サンドイッチ | स्यान्डवीच
L2# 47 | ソース | सस
L2# 48 | とんかつにソースをかける | तोनकाचुमा सस हाल्ने
L2# 49 | 折りたたみ傘 | पटाउन मिल्ने छाता
L2# 50 | リュックサック | ब्याकप्याक
L2# 51 | デザート | डेजर्ट
L2# 52 | 背負う | पछाडि बोक्छु
L2# 53 | 大変 | एकदम
L2# 54 | セット | सेट
L2# 55 | ドリンクバー | ड्रिंक बार
L2# 56 | 壁 | भित्ता
L2# 57 | カレンダー | क्यालेन्डर
L2# 58 | 期間限定 | निश्चित अवधिसम्मको लागि
L2# 59 | 最新 | नवीनतम
L2# 60 | 商品 | बिक्रिको समान
L2# 61 | 世界地図 | विश्वको नक्सा
L2# 62 | 送料 | ढुवानी खर्च
L2# 63 | タイムサービス | टाइम सर्भिस
L2# 64 | 半額 | ५०% डिस्काउन्ट
L2# 65 | フロアガイド | फ्लोर गाइड
L2# 66 | 本日 | आज
L2# 67 | 量 | मात्रा
L2# 68 | ～券（例：割引券） | ~टिकट (जस्तो: डिस्काउन्ट टिकट)
L2# 69 | ～放題（例：飲み放題） | ～सकाजति (जस्तै: सकाजति पिउने)
L2# 70 | 貼る | टास्नु
L2# 71 | かける | झुन्ड्याउनु, हाल्नु
L2# 72 | カレンダーをかける | क्यालेन्डर झुन्ड्याउनु
L3#  1 | 日本語能力試験 | जापानी भाषा योग्यता परिक्षा
L3#  2 | 笑顔 | हसमुख
L3#  3 | ビジネス | विजिनेस/व्यावसायिक
L3#  4 | 悲しい | दु:ख
L3#  5 | 法律 | कानून
L3#  6 | 間違い | गल्ती, गलत
L3#  7 | アクセサリー | गरगहना
L3#  8 | 目標 | लक्ष्य
L3#  9 | 学部 | संकाय, कोर्ष
L3# 10 | 寮 | छात्रावास
L3# 11 | カナダ | क्यानाडा
L3# 12 | ～会社（例：旅行会社） | ～कार्यालय (जस्तै: ट्र्राभल एजेन्सीका कार्यालय)
L3# 13 | 給料 | तलब
L3# 14 | ～料（例：授業料） | ～शुल्क (जस्तो: पढाइ शुल्क)
L3# 15 | 計画 | योजना
L3# 16 | 経済 | अर्थशास्त्र
L3# 17 | 選ぶ | छनौट गर्नु
L3# 18 | 見学会 | अवलोकन समारोह
L3# 19 | 悩む | चिन्तान्तामा हुनु
L3# 20 | 答え | उत्तर
L3# 21 | 開く | खोल्नु
L3# 22 | サークル | सर्कल
L3# 23 | 自分の店を開く | आफ्नो पसल खोल्नु
L3# 24 | 試験 | परीक्षा
L3# 25 | 迷う | कन्फ्युज हुनु (निर्णय गर्न नसक्नु)
L3# 26 | 将来 | भविष्यमा
L3# 27 | 説明会 | ब्रीफिङ, छलफल समारोह
L3# 28 | 国へ帰るかどうか迷っている | आफ्नो देशमा जाने कि नजाने भनि निर्णय गर्न नसकेको
L3# 29 | 専門学校 | प्राविधिक विद्यालय
L3# 30 | 受ける | (परीक्षा) दिनु, भाग लिनु
L3# 31 | 聴解 | सुनाइ बुझाइ जाँच
L3# 32 | 入学試験を受ける | प्रवेश परीक्षा दिनु
L3# 33 | 体験・する | अनुभव गर्नु
L3# 34 | デッサン・する | स्केच कोर्नु
L3# 35 | 考える | सोच्छु
L3# 36 | 復習・する | पुन:अध्ययन गर्नु
L3# 37 | 決める | निर्णय गर्नु
L3# 38 | 予習・する | पूर्व अध्ययन गर्नु
L3# 39 | 調べる | खोजतलास गर्नु
L3# 40 | 続ける | निरन्तरता दिनु
L3# 41 | パティシエ | पेस्ट्री शेफ
L3# 42 | 辞める | गर्न छोड्नु
L3# 43 | 案内・する | गाइड गर्नु
L3# 44 | 通訳・する | उल्था/व्याख्या गर्नु
L3# 45 | 確認・する | सोधपुछ गरी निश्चय गर्नु
L3# 46 | 見学・する | अवलोकन गर्नु
L3# 47 | 合格・する | उत्तीर्ण हुनु
L3# 48 | 進学・する | उच्च शिक्षाको पढाइ गर्नु
L3# 49 | 就職・する | नोकरी सुरु गर्नु
L3# 50 | 専攻・する | मेजर गर्नु
L3# 51 | 相談・する | सरसल्लाह लिनु
L3# 52 | 貯金・する | बचत गर्नु
L3# 53 | 通学・する | विद्यालय आउने जाने गर्नु
L3# 54 | 翻訳・する | अनुवाद गर्नु
L3# 55 | 正しい | उचित
L3# 56 | 一生懸命 | मिहेनतका साथ
L3# 57 | 願書 | आवेदन फारम
L3# 58 | 建築家 | वास्तुकार
L3# 59 | 事務室 | अफिस कोठा
L3# 60 | 書類 | कागज पत्र
L3# 61 | スーツ | सुट
L3# 62 | デザイナー | डिजाइनर
L3# 63 | 夢 | सपना
L3# 64 | 将来の夢 | भविष्यको सपना
L3# 65 | ～中（例：今日中） | ～भित्र (जस्तो: आजको दिनभित्र)
L3# 66 | 頑張る | मिहेनत गर्नु
L3# 67 | 経営・する | सञ्चालन गर्नु
L3# 68 | 受験・する | परिक्षा दिनु
L3# 69 | スピーチ・する | स्पिच (भाषण) गर्नु
L4#  1 | 茶道 | सादो (जापानी चिया पद्दति)
L4#  2 | 味 | स्वाद
L4#  3 | おばさん | काकी/बुढी
L4#  4 | 三味線 | स्यामिसेन (एक किसिमको बाजा)
L4#  5 | タコ | अक्टोपस
L4#  6 | 市民 | नगरवासी
L4#  7 | たこ焼き | ताकोयाकि
L4#  8 | 種類 | प्रकार
L4#  9 | 情報 | सूचना/खबर
L4# 10 | 水道 | धारा
L4# 11 | タオル | रुमाल
L4# 12 | 通る | यहाँ भएर जान्छ
L4# 13 | 似る | मिल्न जान्छ
L4# 14 | 丸い | गोलो
L4# 15 | てんぷら | तेलमा पकाएको पकौडा जस्तो परिकार
L4# 16 | 小さな | सानो
L4# 17 | ～がする | ～आउनु
L4# 18 | 方法 | उपाय
L4# 19 | 理由 | कारण
L4# 20 | ～場（例：サッカー場） | ～शाला (जस्तो: फुटबल रंगशाला)
L4# 21 | ～センター（例：市民センター） | ～केन्द्र (जस्तै: नागरिक केन्द्र)
L4# 22 | ～口（例：西口） | ～द्वार (जस्तो पश्चिमी द्वार)
L4# 23 | 空港 | एअरपोर्ट
L4# 24 | 歯科 | दन्त क्लिनिक
L4# 25 | 市役所 | नगर पालिकाको कार्यालय
L4# 26 | 小学校 | प्राथमिक विद्यालय
L4# 27 | 美容院 | ब्युटि क्लिनिक
L4# 28 | 不動産 | रियल एस्टेट एजेन्ट, घर जग्गा बेचबिखन गर्ने कार्यालय
L4# 29 | 交流会 | सद्भावना समारोह
L4# 30 | 着く | पुग्छु
L4# 31 | 止まる | रोकिनु
L4# 32 | 水が止まる | पानी रोकिनु
L4# 33 | 知らせる | थाहा दिनु
L4# 34 | 出る | निस्कनु (आउनु)
L4# 35 | バスが出る | बस प्रस्थान हुनु
L4# 36 | カット・する | काट्नु
L4# 37 | 質問・する | प्रश्न गर्नु
L4# 38 | 修理・する | मर्मत गर्नु
L4# 39 | 利用・する | प्रयोग गर्नु
L4# 40 | 必要（な） | आवश्यक
L4# 41 | 区役所 | वडा प्रशासन कार्यालय
L4# 42 | 大使館 | राजदुतावास
L4# 43 | 坂 | उकालो/ओरालो, भीर
L4# 44 | 次 | अर्को
L4# 45 | ～階建て | ～तले
L4# 46 | ～番線 | ～नम्बरको
L4# 47 | ～メートル | ～मिटर
L4# 48 | ～行き（例：新宿行き） | ～जाने (जस्तो: सिन्जुकु जाने)
L4# 49 | 上る | माथि जाने
L4# 50 | 下りる | तल जाने
L4# 51 | 駐車・する | पार्क गर्ने
L4# 52 | 中学校 | जुनियर हाइस्कुल
L4# 53 | 方 | तरिका
L4# 54 | ラケット | र्‍याकेट
L5#  1 | 星 | तारा
L5#  2 | 失敗・する | असफल हुनु
L5#  3 | 革 | छाला
L5#  4 | 切符 | (ट्‍रेन) टिकट
L5#  5 | 池 | पोखरी
L5#  6 | 教科書 | पाठ्यपुस्तक
L5#  7 | 色 | रङ्ग
L5#  8 | ケース | केस
L5#  9 | ピンク | गुलाबी रङ्ग
L5# 10 | 線路 | रेल मार्ग
L5# 11 | 緑 | हरियो
L5# 12 | 途中 | बिचमा
L5# 13 | 駅員 | स्टेशन कामदार
L5# 14 | 窓口 | सोधपूछ गर्ने स्थान
L5# 15 | 警官 | प्रहरी
L5# 16 | 横長 | लामो चौडाइको
L5# 17 | 忘れ物 | बिर्ससिएको सामान
L5# 18 | カード | कार्ड
L5# 19 | ICカード | IC कार्ड
L5# 20 | 大きさ | बढाइ
L5# 21 | 財布にカードが入っている | पर्समा कार्ड हालेछु
L5# 22 | 階段 | भर्‍याङ
L5# 23 | ～辺（例：どの辺） | ～तिर (जस्तै: कतातिर)
L5# 24 | 鍵 | साँचो
L5# 25 | 形 | आकार
L5# 26 | ハート | पानको आकार
L5# 27 | 落とす | खसाल्नु
L5# 28 | 困る | आपदमा पर्नु
L5# 29 | 転ぶ | लड्नु
L5# 30 | 壊す | बिगार्नु
L5# 31 | 付く | लाग्छु
L5# 32 | ポケットが付いている | खल्ती छ।
L5# 33 | なくなる | हराउनु
L5# 34 | 自転車がなくなった | साइकल हरायो
L5# 35 | 乗り過ごす | निदाएर ओर्लन बिर्सनु
L5# 36 | 迷う | कन्फ्युज हुनु
L5# 37 | 道に迷う | बाटो कन्फ्युज हुनु
L5# 38 | 見つかる | पत्ता लाग्छु
L5# 39 | 出る | निस्कनु
L5# 40 | 駅を出る | स्टेशनबाट निस्कन्छु
L5# 41 | 乗り換える | ट्‍रान्सफर गर्नु
L5# 42 | 間違える | भूल गर्नु
L5# 43 | 心配・する | चिन्तान्ता गर्नु
L5# 44 | 連絡・する | खबर गर्नु
L5# 45 | 気がつく | थाहा लाग्छु
L5# 46 | 急に | अचानक
L5# 47 | さっき | अघि
L5# 48 | しばらく | केही छिन
L5# 49 | 預かる | जिम्मामा लिनु
L5# 50 | 取る | लिनु
L5# 51 | 100点を取る | १०० अङ्क, नम्बर ल्याउनु
L5# 52 | 戻る | फर्कनु
L5# 53 | 変える | बदल्नु
L5# 54 | アナウンス・する | एनाउन्स गर्नु
L5# 55 | 安心・する | ढुक्क हुनु
L5# 56 | 遅刻・する | अबेर हुनु
L5# 57 | 寝坊・する | बिहान अबेरसम्म सुत्नु
L5# 58 | びっくり・する | चकित हुनु
L5# 59 | 薄い | खल्‍ो
L5# 60 | この料理は味が薄い | यो परिकारमा स्वाद खल्‍ो छ
L5# 61 | すぐ | तुरुन्त
L5# 62 | 本当に | साच्चिकै
L5# 63 | もう少し | अझ अलिकति
L5# 64 | ゆっくり | बिस्तार
L5# 65 | ゆっくり話してください | बिस्तार भन्नुहोला
L5# 66 | 全部で | सबै मिलाएर
L5# 67 | 白 | सेतो
L5# 68 | 確かに | अवश्य नै
L5# 69 | ～号車 | ～नम्बरको ट्‍रेन
L5# 70 | それが…… | हुन त हो तर…
L5# 71 | ～ずつ | ～वटा गरी
L5# 72 | どうしよう | के गर्ने होला
L5# 73 | 急行 | एक्‍सप्रेस
L5# 74 | 特急 | लिमिटेड एक्‍सप्रेस
L5# 75 | コインロッカー | कोइन लकर
L5# 76 | 終点 | गन्तब्य
L5# 77 | 終電 | आखिरी ट्‍रेन
L5# 78 | タクシー | ट्‍याक्‍सी
L5# 79 | 定期券 | ट्‍रेन पास
L5# 80 | 箱 | बाकस/डिब्बा
L5# 81 | 文字 | अक्षर
L5# 82 | ～点（例：100点） | ～नम्बर, अङ्क (जस्तो: १०० नम्बर, अङ्क)
L6#  1 | 宿泊 | वास बसाइ
L6#  2 | ウニ | उनी (समुन्द्रि जीव)
L6#  3 | 水族館 | एक्‍वुरियम
L6#  4 | カヌー | कानु
L6#  5 | スノーボード | स्नोबोर्ड
L6#  6 | 自然 | प्रकृति
L6#  7 | 代金 | लागे खर्च
L6#  8 | 湿原 | ओशिलो मैदान
L6#  9 | 朝食 | बिहानको खाना
L6# 10 | ジャガイモ | आलु
L6# 11 | 夕食 | बेलुकाको खाना
L6# 12 | 乗馬 | घोडचडी
L6# 13 | 登山 | पर्वतारोहण
L6# 14 | トウモロコシ | मकै
L6# 15 | 内容 | विषय
L6# 16 | 牧場 | गौचर
L6# 17 | なし | नहुनु
L6# 18 | ラベンダー畑 | लाबेन्डर फूलको बगैँचा
L6# 19 | 値段 | मूल्य
L6# 20 | 楽しむ | रमाइलो गर्नु
L6# 21 | 船 | पानी जहाज
L6# 22 | プラン | योजना
L6# 23 | 大人 | वयस्क
L6# 24 | 雰囲気 | वातावरण
L6# 25 | カニ | गंगटो
L6# 26 | 街 | ठूलो शहर
L6# 27 | 着物 | किमोनो
L6# 28 | 虫 | किरा फट्यांग्‍रा
L6# 29 | 旅館 | परम्परागत जापानी होटल/लज
L6# 30 | こっち | यता
L6# 31 | そっち | त्यता
L6# 32 | ～付き（例：朝食付き） | ～सहितको (जस्तो: बिहानको खाना सहितको)
L6# 33 | 最後 | अन्तिम
L6# 34 | ～泊～日（例：2泊3日） | ～रात ～दिन (जस्तो: २ रात ३ दिन)
L6# 35 | 市内 | नगरभित्र
L6# 36 | ショッピングセンター | शपिङ सेन्टर
L6# 37 | ～費（例：交通費） | ～खर्‍च (जस्तो: सवारी खर्‍च)
L6# 38 | どっち | कुन
L6# 39 | 待ち合わせる | भेला हुनु
L6# 40 | ガイド・する | गाइड गर्नु
L6# 41 | 観光・する | घुमफिर गर्ने
L6# 42 | キャンプ・する | क्‍याम्प गर्ने
L6# 43 | 出発・する | प्रस्थान गर्ने
L6# 44 | チェックイン・する | भित्र पस्छु
L6# 45 | レンタル・する | भाडामा लिनु
L6# 46 | 珍しい | दुर्लभ
L6# 47 | 伝統的（な） | परम्परागत
L6# 48 | それに | अनि त्यसका साथै बाहेक
L6# 49 | イルカ | डल्‍फिन
L6# 50 | ガイドブック | गाइड बुक
L6# 51 | ショー | प्रदर्शन
L6# 52 | 手袋 | पन्जा
L6# 53 | 年末 | बर्षान्त
L6# 54 | マフラー | गलबन्दी
L6# 55 | ～中（例：旅行中） | ～अवधिभित्र (जस्तो: यात्रा अवधिभित्र)
L6# 56 | 取る | लिनु
L6# 57 | 休みを取る | बिदा लिनु
L6# 58 | なくなる | हराउनु/बित्‍नु
L6# 59 | 席がなくなる | सिट हराउनु
L6# 60 | 伝える | बताउनु, भन्नु
L6# 61 | ぬれる | भिज्‍छु
L6# 62 | コピー・する | फोटो कपी गर्नु
L6# 63 | 到着・する | (कुनै स्‍थानमा) पुग्‍छु
L6# 64 | 用意・する | तयारी गर्नु
L6# 65 | お願いします | अनुरोध गर्नु
L6# 66 | あとで | पछि
L7#  1 | 召し上がる | खानु (आदरभाव)
L7#  2 | 相手 | कुरा गरिने व्यक्ति
L7#  3 | 出席・する | उपस्थित हुने
L7#  4 | 習慣 | चाल चलन
L7#  5 | 退院・する | अस्पतालबाट डिस्चार्ज हुनु
L7#  6 | 違い | फरक
L7#  7 | 驚く | अचम्म हुनु
L7#  8 | 失礼（な） | अशिष्ट
L7#  9 | もう一度 | फेरि एक पटक
L7# 10 | 皮 | छाला
L7# 11 | カップ | कप
L7# 12 | 味 | स्वाद
L7# 13 | 会議 | सभा
L7# 14 | 課長 | शाखाप्रमुख
L7# 15 | 社長 | कम्पनि प्रमुख
L7# 16 | ご存じ | अवगत हुनु
L7# 17 | ミステリー | रहस्यमय
L7# 18 | ～頃（例：9時頃） | ～तिर (जस्तै: ९ बजेतिर)
L7# 19 | どなた | को
L7# 20 | いらっしゃる | आउनु (आदरभाव)
L7# 21 | おっしゃる | भन्नु (आदरभाव)
L7# 22 | ご覧になる | हेर्नु (आदरभाव)
L7# 23 | なさる | गर्नु (आदरभाव)
L7# 24 | キャベツ | बन्दागोबी
L7# 25 | ジャガイモ | आलु
L7# 26 | 大根 | मुला
L7# 27 | タマネギ | प्‍याज
L7# 28 | ニンジン | गाजर मुला
L7# 29 | ネギ | प्‍याजको पात
L7# 30 | クリーム | क्रिम
L7# 31 | コショウ | धुलो मरिच
L7# 32 | 酢 | भिनेगर
L7# 33 | 調味料 | मरमसला
L7# 34 | このくらい | यति
L7# 35 | ゼリー | जेली
L7# 36 | ソース | सस
L7# 37 | パスタのソースを作る | पास्ताको सस बनाउनु
L7# 38 | 漬物 | अचार
L7# 39 | できあがり | तयार भएको
L7# 40 | 鍋 | नाबे (कराइ)
L7# 41 | パスタ | पास्ता
L7# 42 | ハチミツ | मह
L7# 43 | 火 | आगो
L7# 44 | 強火 | ठूलो आगो
L7# 45 | 弱火 | सानो आगो
L7# 46 | 半分 | आधि
L7# 47 | みそ汁 | मिसो सुप
L7# 48 | ルー | रेडिमेड मसाला
L7# 49 | ローリエ | लौरियल
L7# 50 | ～グラム | ～ग्‍राम
L7# 51 | 変わる | बदल्नु
L7# 52 | 冷やす | चिस्‍याउनु
L7# 53 | むく | बोक्‍रा छोडाउनु
L7# 54 | 焼く | पोल्नु
L7# 55 | 沸かす | (पानी) उमाल्नु
L7# 56 | 炒める | भुट्नु
L7# 57 | 煮る | झोल हालि पकाउनु
L7# 58 | ゆでる | उमाल्नु
L7# 59 | 沸騰・する | उम्‍लिनु
L7# 60 | 厚い | बाक्‍लो
L7# 61 | 薄い | पातलो
L7# 62 | 薄く切る | पातलोसँग काट्नु
L7# 63 | 濃い | कडा स्वाद
L7# 64 | 細かい | मसिनो
L7# 65 | 細い | पातलो
L7# 66 | 弱い | कमजोर
L7# 67 | まず | सबभन्दा पहिले
L7# 68 | 次に | त्यसपछि
L7# 69 | 最後に | अन्तिममा
L7# 70 | 肉じゃが | निकुजागा
L7# 71 | ラケット | र्‍याकेट
L7# 72 | 遠慮・する | अड लाग्‍छु
L7# 73 | だいたい | लगभग
L7# 74 | もちろん | अवश्य
L7# 75 | お邪魔します | केही बेर दु:ख दिन्छु (कसैको घरमा जाँदा भनिने)
L7# 76 | よくいらっしゃいました | स्वागत छ
L8#  1 | 拾う | भुइँबाट उठाउनु
L8#  2 | 明るい | उज्‍यालो
L8#  3 | 譲る | कसैका लागि छोडिदिनु
L8#  4 | やっと | बल्ल
L8#  5 | 助ける | मदत गर्नु
L8#  6 | 届ける | पुर्‍याउनु
L8#  7 | お巡りさん | प्रहरी
L8#  8 | 迎えに来る | लिन आउनु
L8#  9 | クッキー | कुक्की/बिस्कुट
L8# 10 | （お）団子 | लड्डु
L8# 11 | 肉じゃが | निकुजागा
L8# 12 | そんなに | त्यति धेरै त
L8# 13 | ふーん | ए हो र?
L8# 14 | 鏡 | ऐना
L8# 15 | 湖 | ताल
L8# 16 | 花瓶 | फुलदानी
L8# 17 | 教授 | प्रोफेसर
L8# 18 | ～さん（例：駅員さん） | ～ज्‍यु (जस्तो: स्टेशन कर्‍्मचारीज्‍यु)
L8# 19 | 近所 | छिमेक
L8# 20 | この間 | केही समय अगाडि
L8# 21 | 送る | पठाउनु/पुर्‍याउनु
L8# 22 | 資料 | कागज पत्र
L8# 23 | 車でうちまで送る | गाडीद्वारा घरसम्म पुर्‍याउनु
L8# 24 | （お）茶碗 | कचौरा
L8# 25 | 連れて行く | लिएर जानु
L8# 26 | 机 | टेबुल
L8# 27 | 捕る | पक्रनु
L8# 28 | 人形 | पुतली
L8# 29 | 直す | मर्मत गर्नु
L8# 30 | 部長 | विभाग प्रमुख
L8# 31 | 本棚 | पुस्तकको दराज
L8# 32 | （お）礼 | आभार
L8# 33 | ～先（例：アルバイト先） | ～मा (पार्‍टटाइम काममा)
L8# 34 | いただく | प्राप्त गर्नु
L8# 35 | くださる | दिनु
L8# 36 | うれしい | खुशी
L8# 37 | 気持ちいい | आनन्द/मन राम्रो
L8# 38 | 素敵（な） | अति सुन्दर/आकर्षक
L8# 39 | どういたしまして | केही छैन
L8# 40 | チヂミ | चिजिमी (कोरियन खाना)
L8# 41 | におい | वास्ना, गन्ध
L8# 42 | 飾る | सजाउनु
L8# 43 | いろんな | अनेक थरिका/विभिन्न
L8# 44 | 乾杯 | चियर्स गर्नु
L9#  1 | 月 | महिना, चन्द्रमा, सोम (बार)
L9#  2 | 大切さ | महत्व
L9#  3 | 前の月 | अघिल्‍लो महिना
L9#  4 | 恥ずかしい | लाजलाग्छो
L9#  5 | 都合 | अनुकुल अवस्था
L9#  6 | 伝票 | विल
L9#  7 | ですから | त्यसकारणले
L9#  8 | 道具 | समान
L9#  9 | 一度 | एक पटक
L9# 10 | 表 | तालिका
L9# 11 | 裏 | पछाडि, भित्र पट्टि
L9# 12 | ホール | हल
L9# 13 | 毎月 | प्रत्येक महिना
L9# 14 | オーブン | ओभन
L9# 15 | 温度 | तापक्रम
L9# 16 | マニュアル | म्‍यानुअल
L9# 17 | 紙 | कागज
L9# 18 | 床 | भुइँ
L9# 19 | 髪の毛 | कपाल
L9# 20 | 汚れ | फोहोर
L9# 21 | 代わり | बदलामा
L9# 22 | 予定 | योजना
L9# 23 | シフト | सिफ्ट
L9# 24 | ルール | नियम
L9# 25 | シール | टुल
L9# 26 | スタッフ | स्‍टाफ
L9# 27 | スニーカー | स्निकर जुत्ता
L9# 28 | ～様（例：お客様） | ～ज्‍यु (जस्तो: अतिथिज्‍यु)
L9# 29 | 上がる | वृद्धि हुनु
L9# 30 | 隅 | कुना
L9# 31 | 空く | खाली हुनु
L9# 32 | 洗剤 | डिटर्जेेन्ट, वासिङ पाउडर
L9# 33 | 押す | दबाउनु/हाल्नु
L9# 34 | タイムカード | टाइम कार्ड
L9# 35 | タイムカードを押す | टाइम कार्ड हाल्नु
L9# 36 | 誰か | कोही
L9# 37 | 乾く | सुक्‍छु
L9# 38 | 調理場 | किचन, भान्‍छाघर
L9# 39 | 代わる | बदली हुनु
L9# 40 | アルバイトを代わる | पार्‍ट टाइम काम बदल्नु
L9# 41 | 断る | अस्वीकार गर्नु
L9# 42 | しまう | थन्क्‍याउनु
L9# 43 | 滑る | चिप्लनु
L9# 44 | モップ | भुइँ पुछ्ने मप
L9# 45 | 出す | निकाल्नु
L9# 46 | ～袋（例：ごみ袋） | ～झोला (जस्तो: फोहोरको झोला)
L9# 47 | ごみを出す | फोहोर निकाल्नु
L9# 48 | 決まる | निश्चित हुनु
L9# 49 | 運ぶ | ओसार्नु
L9# 50 | 届く | पुग्‍छु
L9# 51 | 拭く | पुछ्नु
L9# 52 | かける | लगाउनु/बस्‍छु
L9# 53 | こちらのいすにおかけください | कृपया यहाँको मेचमा बस्नुहोस्
L9# 54 | 干す | सुकाउनु
L9# 55 | 呼ぶ | बोलाउनु
L9# 56 | 渡す | दिनु
L9# 57 | 切れる | काटिनु/सिद्धिनु
L9# 58 | 焦げる | डढ्नु
L9# 59 | 上げる | उचाल्नु
L9# 60 | 確かめる | निश्चित गर्नु
L9# 61 | 下げる | ओराल्नु
L9# 62 | 破れる | च्यातिनु
L9# 63 | 片付ける | सामान ठीकठाउँमा राख्‍छु
L9# 64 | 着替える | लुगा बदल्नु
L9# 65 | 休憩・する | विश्‍राम गर्नु
L9# 66 | 注意・する | सचेत गर्नु
L9# 67 | 足りる | पुग्‍छु
L9# 68 | ご注意ください | ध्यान दिनुहोला
L9# 69 | つける | लगाउनु
L9# 70 | アクセサリーをつける | गरगहना लगाउनु
L9# 71 | 少々 | अलिकति
L9# 72 | 並べる | लाइनमा राख्‍छु
L9# 73 | お先にどうぞ | अगाडि जानोस्
